device_id,timestamp,temperature,signal_strength,connectivity
Device_1,2025-11-11 10:57:52.147144,24.07,97.49,Online
Device_1,2025-11-11 10:59:52.147144,23.88,98.0,Online
Device_1,2025-11-11 11:01:52.147144,23.51,98.47,Online
Device_1,2025-11-11 11:03:52.147144,22.44,98.06,Online
Device_1,2025-11-11 11:05:52.147144,23.29,100.43,Online
Device_1,2025-11-11 11:07:52.147144,25.03,98.62,Online
Device_1,2025-11-11 11:09:52.147144,23.45,99.31,Online
Device_1,2025-11-11 11:11:52.147144,23.48,99.02,Online
Device_1,2025-11-11 11:13:52.147144,23.85,100.97,Online
Device_1,2025-11-11 11:15:52.147144,23.85,98.13,Online
Device_1,2025-11-11 11:17:52.147144,23.69,99.32,Online
Device_1,2025-11-11 11:19:52.147144,23.07,99.89,Online
Device_1,2025-11-11 11:21:52.147144,23.41,98.4,Online
Device_1,2025-11-11 11:23:52.147144,24.19,98.26,Online
Device_1,2025-11-11 11:25:52.147144,23.91,98.04,Online
Device_1,2025-11-11 11:27:52.147144,24.34,99.91,Online
Device_1,2025-11-11 11:29:52.147144,23.93,99.66,Online
Device_1,2025-11-11 11:31:52.147144,25.43,99.93,Online
Device_1,2025-11-11 11:33:52.147144,23.79,99.31,Online
Device_1,2025-11-11 11:35:52.147144,23.48,100.51,Online
Device_1,2025-11-11 11:37:52.147144,23.34,99.52,Online
Device_1,2025-11-11 11:39:52.147144,23.87,98.7,Online
Device_1,2025-11-11 11:41:52.147144,23.39,99.34,Online
Device_1,2025-11-11 11:43:52.147144,22.42,98.67,Online
Device_1,2025-11-11 11:45:52.147144,23.66,98.61,Online
Device_1,2025-11-11 11:47:52.147144,23.74,100.69,Online
Device_1,2025-11-11 11:49:52.147144,23.78,96.55,Online
Device_1,2025-11-11 11:51:52.147144,23.46,99.44,Online
Device_1,2025-11-11 11:53:52.147144,24.32,98.26,Online
Device_1,2025-11-11 11:55:52.147144,24.45,97.62,Online
Device_1,2025-11-11 11:57:52.147144,23.25,99.58,Online
Device_1,2025-11-11 11:59:52.147144,23.75,99.38,Online
Device_1,2025-11-11 12:01:52.147144,23.29,97.46,Online
Device_1,2025-11-11 12:03:52.147144,23.57,98.46,Online
Device_1,2025-11-11 12:05:52.147144,22.94,98.83,Online
Device_1,2025-11-11 12:07:52.147144,23.03,97.82,Online
Device_1,2025-11-11 12:09:52.147144,23.87,98.67,Online
Device_1,2025-11-11 12:11:52.147144,23.86,98.17,Online
Device_1,2025-11-11 12:13:52.147144,24.68,98.54,Online
Device_1,2025-11-11 12:15:52.147144,23.37,100.14,Online
Device_1,2025-11-11 12:17:52.147144,24.16,97.12,Online
Device_1,2025-11-11 12:19:52.147144,24.18,99.25,Online
Device_1,2025-11-11 12:21:52.147144,23.61,96.29,Online
Device_1,2025-11-11 12:23:52.147144,23.77,99.15,Online
Device_1,2025-11-11 12:25:52.147144,23.63,98.3,Online
Device_1,2025-11-11 12:27:52.147144,23.52,98.24,Online
Device_1,2025-11-11 12:29:52.147144,23.85,100.26,Online
Device_1,2025-11-11 12:31:52.147144,23.86,99.82,Offline
Device_1,2025-11-11 12:33:52.147144,23.92,98.45,Online
Device_1,2025-11-11 12:35:52.147144,24.2,99.62,Online
Device_1,2025-11-11 12:37:52.147144,24.0,95.16,Online
Device_1,2025-11-11 12:39:52.147144,23.86,98.84,Online
Device_1,2025-11-11 12:41:52.147144,23.5,98.93,Online
Device_1,2025-11-11 12:43:52.147144,23.54,98.93,Online
Device_1,2025-11-11 12:45:52.147144,23.78,100.09,Online
Device_1,2025-11-11 12:47:52.147144,24.94,97.17,Online
Device_1,2025-11-11 12:49:52.147144,22.73,98.83,Online
Device_1,2025-11-11 12:51:52.147144,23.36,97.35,Online
Device_1,2025-11-11 12:53:52.147144,24.63,98.61,Online
Device_1,2025-11-11 12:55:52.147144,23.93,97.36,Online
Device_1,2025-11-11 12:57:52.147144,24.38,99.72,Online
Device_1,2025-11-11 12:59:52.147144,23.63,97.14,Online
Device_1,2025-11-11 13:01:52.147144,23.62,100.26,Online
Device_1,2025-11-11 13:03:52.147144,23.68,99.48,Online
Device_1,2025-11-11 13:05:52.147144,23.25,98.55,Online
Device_1,2025-11-11 13:07:52.147144,24.07,98.89,Online
Device_1,2025-11-11 13:09:52.147144,24.81,100.97,Online
Device_1,2025-11-11 13:11:52.147144,23.5,98.81,Online
Device_1,2025-11-11 13:13:52.147144,23.45,98.16,Online
Device_1,2025-11-11 13:15:52.147144,23.93,98.43,Online
Device_1,2025-11-11 13:17:52.147144,24.12,98.4,Offline
Device_1,2025-11-11 13:19:52.147144,23.41,97.85,Online
Device_1,2025-11-11 13:21:52.147144,24.16,98.2,Online
Device_1,2025-11-11 13:23:52.147144,23.48,98.07,Online
Device_1,2025-11-11 13:25:52.147144,23.91,99.14,Online
Device_1,2025-11-11 13:27:52.147144,22.85,99.46,Online
Device_1,2025-11-11 13:29:52.147144,24.06,98.39,Online
Device_1,2025-11-11 13:31:52.147144,22.7,97.24,Online
Device_1,2025-11-11 13:33:52.147144,23.95,99.58,Online
Device_1,2025-11-11 13:35:52.147144,23.53,98.81,Online
Device_1,2025-11-11 13:37:52.147144,23.02,100.42,Online
Device_1,2025-11-11 13:39:52.147144,23.41,97.65,Online
Device_1,2025-11-11 13:41:52.147144,24.17,99.17,Online
Device_1,2025-11-11 13:43:52.147144,23.4,99.06,Online
Device_1,2025-11-11 13:45:52.147144,24.01,97.48,Online
Device_1,2025-11-11 13:47:52.147144,23.57,98.56,Online
Device_1,2025-11-11 13:49:52.147144,23.86,99.0,Online
Device_1,2025-11-11 13:51:52.147144,24.88,98.61,Online
